timeSpent;date;consecutivo;concept;comment;tareaId
11.75;2024-06-02;64;Tareas administrativas;Planeación interna. Planeación Backend. Revisar bug Simetrical. Daily backend. Daily proyectos estratégicos. Tareas administrativas. Daily backend. Definición de cargo. Daily backend. Estándar de desarrollo backend. Seguimiento planeación estratégica. Daily proyectos estratégicos. Grupo primario aplicaciones. Daily backend. Tareas administrativas. Avance proyectos aplicaciones. Tareas administrativas. Revisar reporte de horas backend;
2;2024-06-02;244;Reunión interna;Handover Biofractal. Cambios public download - Biofractal;
2;2024-06-02;324;Gestión de proyectos;Organizar cronograma Digicrédito. Acta Digicrédito. Ajustar cronograma Digicrédito;
3;2024-06-02;324;Reunión de proyectos;Seguimiento Digicrédito. Despliegue de infraestructura AWS Punto Aliado. Definir cronograma Digicrédito. Seguimiento Digicrédito;
5;2024-06-02;15;Code review;Revisar resolvers Virtual. Revisar PRs Virtual. Revisar resolvers Virtual;
6;2024-06-02;241;Code review;Revisar resolvers Quotation. Revisar PRs Derick. Revisar resolvers Derick. Revisar resolvers Catalogue y Home Derick. Revisar resolvers Home y Catalogue. Revisar resolvers Derick;
0.5;2024-06-02;244;Reunión de proyectos;Biofractal. Weekly meeting;
0.5;2024-06-02;306;Reunión interna;Revisar bug Sebas despliegue lambda Ziklo;
1;2024-06-02;241;Reunión interna;Unit testing derick;
1.5;2024-06-02;15;Entendimiento y análisis del proyecto;Flujograma Virtual. Revisar flujograma Virtual. Revisar flujograma Virtual;
1.5;2024-06-02;306;Apoyo;Desplegar lambda Ziklo;
1;2024-06-02;64;Cotización y propuesta;Propuesta whatsapp y messagebird. Cotizar Taraaán MessageBird;
1.5;2024-06-02;178;Soporte no pago;Revisar error Simetrical. Revisar simetrical;
0.5;2024-06-02;241;Reunión de proyectos;Follow up Zoom Derick;
1.5;2024-06-02;64;Reunión interna;ruta formación Frontend. PRIMEROS AUXILIOS BÁSICOS MÓDULO 1 - Sistema de Gestión de Seguridad y Salud en el Trabajo ;
1;2024-06-02;15;Reunión de proyectos;Seguimiento Virtual Cargo;
0.5;2024-06-02;241;Gestión de proyectos;Cronograma Derick;
